model_name,doi,overall_precision,overall_recall,overall_f1,num_target_items,num_extracted_items,num_matched_items,num_target_materials,num_extracted_materials,num_matched_materials,avg_process_edit_distance,input_tokens,output_tokens,cost_usd,elapsed_seconds,avg_paper_time,max_paper_time,avg_attempts,num_hallucinated,num_total_numbers,hallucination_rate,value_precision,value_recall,value_f1,measurement_precision,measurement_recall,measurement_f1,config_precision,config_recall,config_f1,process_precision,process_recall,process_f1,material_precision,material_recall,material_f1
claude-haiku-4-5,doi_10_3390__e21010015,0.8197,0.9352,0.8657,68,78,59.33,6,6,6,2.0000,21943,5867,0.051278,,,,1.00,0,219,0.0000,0.7994,0.8976,0.8456,0.7607,0.8725,0.8128,1.0000,0.9091,0.9524,0.6000,1.0000,0.7500,1.0000,1.0000,1.0000
claude-haiku-4-5,doi_10_3390__e21020114,0.6189,0.5944,0.6050,98,95,39.40,7,7,7,0.0000,49166,9300,0.095666,,,,2.00,0,170,0.0000,0.4252,0.3603,0.3901,0.4147,0.4020,0.4083,0.3750,0.4286,0.4000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
claude-haiku-4-5,doi_10_3390__e21020122,0.6341,0.6906,0.6602,31,25,23.00,8,8,8,1.0000,29547,4346,0.051277,,,,2.00,0,77,0.0000,0.7282,0.7812,0.7538,0.9200,0.7419,0.8214,0.0000,0.0000,0.0000,0.6000,0.7500,0.6667,1.0000,1.0000,1.0000
claude-haiku-4-5,doi_10_3390__e21020169,0.6853,0.5752,0.6231,63,54,29.92,7,5,5,1.2000,46831,14111,0.117386,,,,2.00,0,192,0.0000,0.5306,0.4895,0.5092,0.5540,0.4749,0.5114,0.5000,0.3333,0.4000,0.9750,0.8667,0.9176,1.0000,0.7143,0.8333
claude-haiku-4-5,doi_10_3390__e21030288,0.4092,0.4056,0.4073,43,48,3.00,5,5,5,0.0000,86931,15126,0.162561,,,,3.00,0,123,0.0000,0.1184,0.1111,0.1146,0.0625,0.0698,0.0659,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
claude-haiku-4-5,doi_10_3390__e21050448,0.3290,0.6237,0.4265,20,56,7.50,5,10,5,1.8000,82688,15759,0.161483,,,,4.00,0,146,0.0000,0.2472,0.5724,0.3452,0.1339,0.3750,0.1974,0.0000,0.0000,0.0000,0.6522,0.9375,0.7692,0.5000,1.0000,0.6667
claude-haiku-4-5,doi_10_3390__ma12071136,0.6490,0.5460,0.5879,53,31,18.00,5,5,5,1.0000,25063,2950,0.039813,,,,1.00,0,64,0.0000,0.6346,0.4430,0.5217,0.5806,0.3396,0.4286,0.1000,0.0526,0.0690,0.8333,0.8333,0.8333,1.0000,1.0000,1.0000
claude-haiku-4-5,doi_10_3390__met10111466,0.5801,0.5929,0.5722,39,39,12.00,7,4,4,2.0000,38820,7584,0.076740,,,,2.00,0,73,0.0000,0.5405,0.5660,0.5530,0.3077,0.3077,0.3077,0.1765,0.2500,0.2069,0.6667,0.9333,0.7778,1.0000,0.5714,0.7273
claude-haiku-4-5,doi_10_3390__met9030351,0.5099,0.5001,0.4932,14,23,5.50,4,3,3,1.6667,52434,6765,0.086259,,,,3.00,0,53,0.0000,0.3642,0.5086,0.4245,0.2391,0.3929,0.2973,0.0000,0.0000,0.0000,0.8889,0.6667,0.7619,1.0000,0.7500,0.8571
claude-haiku-4-5,OVERALL,0.6277,0.6345,0.6301,674,742,353.28,101,99,93,1.1290,801223,126606,1.434253,0.0,0.0,0.0,1.95,0,1861,0.0000,0.5279,0.5525,0.5399,0.4761,0.5242,0.4990,0.4296,0.3427,0.3812,0.7920,0.8438,0.8171,0.9394,0.9208,0.9300
gpt-5-mini-medium,doi_10_1016__j_proeng_2012_03_043,0.7783,0.9101,0.8296,12,16,10.93,4,4,4,0.0000,20921,5764,0.083791,,,,2.00,0,35,0.0000,0.7067,0.8202,0.7592,0.6833,0.9111,0.7810,0.5000,1.0000,0.6667,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
gpt-5-mini-medium,doi_10_1038__ncomms10602,0.6475,0.8024,0.7141,19,24,17.33,1,1,1,3.0000,56308,12414,0.194525,,,,3.00,0,48,0.0000,0.7151,0.9048,0.7988,0.7222,0.9123,0.8062,0.0000,0.0000,0.0000,0.7000,1.0000,0.8235,1.0000,1.0000,1.0000
gpt-5-mini-medium,doi_10_1038__s41467_019_08460_2,0.4941,0.5446,0.5099,18,36,10.07,5,4,4,4.0000,34209,8795,0.130711,,,,2.00,0,60,0.0000,0.3990,0.4560,0.4256,0.2796,0.5593,0.3728,0.2500,0.2000,0.2222,0.5357,0.8333,0.6522,1.0000,0.8000,0.8889
gpt-5-mini-medium,doi_10_1038__s41467_019_10533_1,0.6719,0.6410,0.6539,18,18,9.00,7,7,7,0.0000,17662,5290,0.074978,,,,1.00,0,53,0.0000,0.4938,0.4819,0.4878,0.5000,0.5000,0.5000,0.5000,0.3333,0.4000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
gpt-5-mini-medium,doi_10_1038__s41598_017_16509_9,0.6776,0.7466,0.7086,16,22,9.20,3,3,3,1.0000,12900,6459,0.080715,,,,1.00,0,39,0.0000,0.6074,0.7455,0.6694,0.4182,0.5750,0.4842,0.3333,0.3333,0.3333,0.8696,0.8696,0.8696,1.0000,1.0000,1.0000
gpt-5-mini-medium,doi_10_1038__s41598_019_43329_w,0.5191,0.5191,0.5191,44,53,28.67,5,5,5,1.0000,72041,13303,0.223081,,,,3.00,0,103,0.0000,0.4714,0.4714,0.4714,0.5409,0.6515,0.5911,0.0000,0.0000,0.0000,0.6667,0.6667,0.6667,1.0000,1.0000,1.0000
gpt-5-mini-medium,doi_10_1155__2019__2157592,0.5456,0.7053,0.6067,18,31,13.00,12,11,11,2.6364,42415,15984,0.212859,,,,3.00,0,83,0.0000,0.6233,0.8125,0.7054,0.4194,0.7222,0.5306,0.0000,0.0000,0.0000,0.4200,0.8077,0.5526,1.0000,0.9167,0.9565
gpt-5-mini-medium,doi_10_3390__coatings9010016,0.4556,0.4054,0.4221,43,45,6.00,3,3,3,2.3333,76247,21643,0.311739,,,,4.00,0,103,0.0000,0.2066,0.2358,0.2203,0.1333,0.1395,0.1364,0.5000,0.2500,0.3333,0.6364,0.5000,0.5600,1.0000,1.0000,1.0000
gpt-5-mini-medium,doi_10_3390__e16020870,0.9256,0.9298,0.9265,47,49,43.20,6,6,6,0.0000,32709,9137,0.132256,,,,2.00,0,146,0.0000,0.8973,0.8597,0.8781,0.8816,0.9191,0.9000,0.8462,1.0000,0.9167,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
gpt-5-mini-medium,doi_10_3390__e18050189,0.8450,0.9014,0.8629,10,10,6.65,1,1,1,2.0000,36535,6321,0.108879,,,,2.00,0,26,0.0000,0.8500,0.8028,0.8257,0.6650,0.6650,0.6650,1.0000,1.0000,1.0000,0.6000,1.0000,0.7500,1.0000,1.0000,1.0000
gpt-5-mini-medium,doi_10_3390__e21010015,0.9690,0.9650,0.9670,68,74,66.50,6,6,6,0.0000,18097,7970,0.102321,,,,1.00,0,199,0.0000,0.9380,0.9301,0.9340,0.8986,0.9779,0.9366,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
gpt-5-mini-medium,doi_10_3390__e21020114,0.6749,0.6658,0.6702,98,107,50.95,7,7,7,0.0000,96435,24068,0.361224,,,,4.00,0,204,0.0000,0.4421,0.4387,0.4404,0.4762,0.5199,0.4971,0.6923,0.6429,0.6667,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
gpt-5-mini-medium,doi_10_3390__e21020122,0.6200,0.5956,0.5967,31,25,14.00,8,5,5,1.0000,23809,7699,0.106751,,,,2.00,0,57,0.0000,0.6829,0.6437,0.6627,0.5600,0.4516,0.5000,0.0000,0.0000,0.0000,0.6429,0.9000,0.7500,1.0000,0.6250,0.7692
gpt-5-mini-medium,doi_10_3390__e21020169,0.6202,0.6916,0.6518,63,71,37.75,7,7,7,1.8571,37561,16403,0.210981,,,,2.00,0,275,0.0000,0.5762,0.7198,0.6401,0.5317,0.5992,0.5634,0.0952,0.1111,0.1026,0.8387,0.8254,0.8320,1.0000,1.0000,1.0000
gpt-5-mini-medium,doi_10_3390__e21030288,0.6686,0.6528,0.6604,43,38,13.50,5,5,5,0.0000,95471,16410,0.283439,,,,4.00,0,129,0.0000,0.4873,0.4722,0.4796,0.3553,0.3140,0.3333,0.5000,0.4444,0.4706,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
gpt-5-mini-medium,doi_10_3390__e21050448,0.3894,0.8214,0.5267,20,25,9.25,5,10,5,3.4000,26829,12603,0.159566,,,,2.00,0,110,0.0000,0.3887,0.7928,0.5216,0.3700,0.4625,0.4111,0.1538,0.5000,0.2353,0.4848,1.0000,0.6531,0.5000,1.0000,0.6667
gpt-5-mini-medium,doi_10_3390__ma12071136,0.6977,0.7550,0.7233,53,62,35.75,5,5,5,1.0000,72140,17081,0.260985,,,,3.00,0,120,0.0000,0.5787,0.7030,0.6348,0.5766,0.6745,0.6217,0.6111,0.5789,0.5946,0.8333,0.8333,0.8333,1.0000,1.0000,1.0000
gpt-5-mini-medium,doi_10_3390__met10111466,0.5933,0.4823,0.5167,39,24,4.00,7,3,3,1.6667,31112,8470,0.123590,,,,2.00,0,57,0.0000,0.5667,0.4595,0.5075,0.1667,0.1026,0.1270,0.0000,0.0000,0.0000,0.8000,0.9412,0.8649,1.0000,0.4286,0.6000
gpt-5-mini-medium,doi_10_3390__met9030351,0.6068,0.6452,0.6116,14,19,7.55,4,3,3,2.0000,42782,10408,0.157557,,,,3.00,0,56,0.0000,0.5386,0.6754,0.5993,0.3974,0.5393,0.4576,0.2500,0.5000,0.3333,0.7500,0.6000,0.6667,1.0000,0.7500,0.8571
gpt-5-mini-medium,OVERALL,0.6448,0.6875,0.6644,674,749,393.30,101,96,91,1.2747,846183,226222,3.319949,0.0,0.0,0.0,2.42,0,1903,0.0000,0.5829,0.6444,0.6121,0.5251,0.5835,0.5528,0.3976,0.3708,0.3837,0.7576,0.8726,0.8111,0.9479,0.9010,0.9239
gemini-3-flash,doi_10_1016__j_proeng_2012_03_043,0.8802,0.9345,0.9056,12,20,10.67,4,4,4,0.0000,10553,4084,0.017528,,,,1.00,0,43,0.0000,0.7604,0.8690,0.8111,0.5333,0.8889,0.6667,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
gemini-3-flash,doi_10_1038__ncomms10602,0.6102,0.7398,0.6631,19,27,15.00,1,1,1,1.0000,38050,12598,0.056819,,,,2.00,0,54,0.0000,0.5775,0.8367,0.6833,0.5556,0.7895,0.6522,0.0000,0.0000,0.0000,0.8571,0.8571,0.8571,1.0000,1.0000,1.0000
gemini-3-flash,doi_10_1038__s41467_019_08460_2,0.7057,0.5696,0.6221,18,29,10.25,5,5,5,1.0000,16693,7139,0.029763,,,,1.00,0,55,0.0000,0.6114,0.4688,0.5307,0.3534,0.5694,0.4362,0.4000,0.1333,0.2000,0.9500,0.8261,0.8837,1.0000,1.0000,1.0000
gemini-3-flash,doi_10_1038__s41467_019_10533_1,0.8481,0.8898,0.8679,18,16,16.00,7,7,7,2.0000,18769,5337,0.025396,,,,1.00,0,51,0.0000,0.8391,0.8795,0.8588,1.0000,0.8889,0.9412,0.8571,1.0000,0.9231,0.7500,0.7500,0.7500,1.0000,1.0000,1.0000
gemini-3-flash,doi_10_1038__s41598_017_16509_9,0.6445,0.5723,0.5903,16,24,9.37,3,3,3,4.3333,13780,10482,0.038336,,,,1.00,0,39,0.0000,0.5129,0.5207,0.5168,0.3903,0.5854,0.4683,0.3750,0.5000,0.4286,0.9091,0.4348,0.5882,1.0000,1.0000,1.0000
gemini-3-flash,doi_10_1038__s41598_019_43329_w,0.7241,0.6086,0.6133,44,66,32.25,5,5,5,2.0000,77947,21861,0.104556,,,,3.00,0,108,0.0000,0.6481,0.6119,0.6295,0.4886,0.7330,0.5864,1.0000,0.1290,0.2286,0.5000,0.6667,0.5714,1.0000,1.0000,1.0000
gemini-3-flash,doi_10_1155__2019__2157592,0.6935,0.8525,0.7480,18,28,14.75,12,10,10,0.4000,27194,12235,0.050302,,,,2.00,0,109,0.0000,0.6250,0.8218,0.7100,0.5268,0.8194,0.6413,0.4286,1.0000,0.6000,0.8333,0.8333,0.8333,1.0000,0.8333,0.9091
gemini-3-flash,doi_10_3390__coatings9010016,0.5668,0.4574,0.4907,43,22,8.00,3,4,3,2.0000,98901,34746,0.153689,,,,5.00,0,75,0.0000,0.3587,0.3113,0.3333,0.3636,0.1860,0.2462,0.5000,0.2500,0.3333,1.0000,0.5714,0.7273,0.7500,1.0000,0.8571
gemini-3-flash,doi_10_3390__e16020870,0.9421,0.9513,0.9466,47,52,42.40,6,6,6,0.0000,317263,100771,0.460944,,,,11.00,0,160,0.0000,0.8841,0.9026,0.8933,0.8154,0.9021,0.8566,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
gemini-3-flash,doi_10_3390__e18050189,0.9366,0.9002,0.9176,10,9,7.57,1,1,1,0.0000,18918,3465,0.019854,,,,1.00,0,25,0.0000,0.8732,0.8005,0.8353,0.8407,0.7567,0.7965,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
gemini-3-flash,doi_10_3390__e21010015,0.9292,0.9592,0.9428,68,80,63.67,6,6,6,0.0000,19382,13150,0.049141,,,,1.00,0,226,0.0000,0.8583,0.9456,0.8999,0.7958,0.9363,0.8604,1.0000,0.9091,0.9524,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
gemini-3-flash,doi_10_3390__e21020114,0.7495,0.7502,0.7495,98,98,51.22,7,7,7,0.0000,70234,31105,0.128432,,,,3.00,0,221,0.0000,0.4990,0.5218,0.5101,0.5226,0.5226,0.5226,1.0000,0.9286,0.9630,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
gemini-3-flash,doi_10_3390__e21020122,0.7837,0.7927,0.7881,31,28,25.00,8,8,8,0.0000,58999,25625,0.106374,,,,4.00,0,75,0.0000,0.8673,0.8854,0.8763,0.8929,0.8065,0.8475,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
gemini-3-flash,doi_10_3390__e21020169,0.5865,0.6463,0.6141,63,66,36.00,7,7,7,6.4286,39885,23479,0.090380,,,,2.00,0,234,0.0000,0.5507,0.6172,0.5820,0.5455,0.5714,0.5581,0.2778,0.2778,0.2778,0.5974,0.7302,0.6571,1.0000,1.0000,1.0000
gemini-3-flash,doi_10_3390__e21030288,0.4819,0.5022,0.4913,43,59,10.32,5,5,5,0.0000,106408,40768,0.175508,,,,4.00,0,157,0.0000,0.2637,0.3044,0.2826,0.1749,0.2399,0.2023,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
gemini-3-flash,doi_10_3390__e21050448,0.6613,0.8632,0.7419,20,28,13.50,5,5,5,0.8000,12985,7627,0.029374,,,,1.00,0,65,0.0000,0.6402,0.9013,0.7486,0.4821,0.6750,0.5625,0.2222,0.5000,0.3077,0.7895,0.9375,0.8571,1.0000,1.0000,1.0000
gemini-3-flash,doi_10_3390__ma12071136,0.8850,0.7443,0.7968,53,65,44.00,5,5,5,3.0000,76996,19909,0.098225,,,,3.00,0,117,0.0000,0.7887,0.7517,0.7698,0.6769,0.8302,0.7458,0.9375,0.7895,0.8571,1.0000,0.5000,0.6667,1.0000,1.0000,1.0000
gemini-3-flash,doi_10_3390__met10111466,0.7928,0.7899,0.7890,39,36,23.00,7,6,6,0.3333,15624,8789,0.034179,,,,1.00,0,89,0.0000,0.7355,0.7876,0.7607,0.6389,0.5897,0.6133,0.5000,0.5833,0.5385,1.0000,0.9000,0.9474,1.0000,0.8571,0.9231
gemini-3-flash,doi_10_3390__met9030351,0.6272,0.6553,0.6223,14,21,6.80,4,3,3,1.6667,45826,18193,0.077492,,,,3.00,0,50,0.0000,0.5389,0.6690,0.5969,0.3238,0.4857,0.3886,0.2000,0.5000,0.2857,0.8889,0.6667,0.7619,1.0000,0.7500,0.8571
gemini-3-flash,OVERALL,0.7250,0.7211,0.7221,674,774,439.75,101,98,97,1.2784,1084407,401363,1.746293,0.0,0.0,0.0,2.63,0,1953,0.0000,0.6423,0.6860,0.6635,0.5682,0.6524,0.6074,0.5921,0.5056,0.5455,0.8329,0.7910,0.8114,0.9898,0.9604,0.9749
claude-opus-4-6,doi_10_1016__j_proeng_2012_03_043,0.9315,0.9315,0.9315,12,16,10.33,4,4,4,0.0000,25490,2914,0.200300,,,,2.00,0,35,0.0000,0.8631,0.8631,0.8631,0.6458,0.8611,0.7381,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
claude-opus-4-6,doi_10_1038__ncomms10602,0.5081,0.6765,0.5633,19,27,11.00,1,3,1,0.0000,20217,2603,0.166160,,,,1.00,0,63,0.0000,0.5161,0.6531,0.5766,0.4074,0.5789,0.4783,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,0.3333,1.0000,0.5000
claude-opus-4-6,doi_10_1038__s41467_019_08460_2,0.8975,0.6169,0.7097,18,17,9.80,5,5,5,0.8000,18951,2195,0.149630,,,,1.00,0,47,0.0000,0.7949,0.5233,0.6312,0.5765,0.5444,0.5600,1.0000,0.2667,0.4211,1.0000,0.8261,0.9048,1.0000,1.0000,1.0000
claude-opus-4-6,doi_10_1038__s41467_019_10533_1,0.9057,0.8337,0.8644,18,18,18.00,7,7,7,2.0000,21221,1544,0.144705,,,,1.00,0,53,0.0000,0.9114,0.8675,0.8889,1.0000,1.0000,1.0000,1.0000,0.6667,0.8000,0.7500,0.7500,0.7500,1.0000,1.0000,1.0000
claude-opus-4-6,doi_10_1038__s41598_017_16509_9,0.7114,0.7574,0.7329,16,19,10.62,3,3,3,1.0000,15729,1969,0.127870,,,,1.00,0,37,0.0000,0.6749,0.7669,0.7180,0.5588,0.6635,0.6067,0.3333,0.3333,0.3333,0.8696,0.8696,0.8696,1.0000,1.0000,1.0000
claude-opus-4-6,doi_10_1038__s41598_019_43329_w,0.7000,0.6070,0.6464,44,35,28.50,5,5,5,0.0000,57432,8304,0.494760,,,,2.00,0,110,0.0000,0.7000,0.5140,0.5927,0.8143,0.6477,0.7215,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
claude-opus-4-6,doi_10_1155__2019__2157592,0.7278,0.9849,0.8317,18,29,16.50,12,12,12,1.3333,31659,6747,0.326970,,,,2.00,0,107,0.0000,0.7212,0.9698,0.8272,0.5690,0.9167,0.7021,0.6000,1.0000,0.7500,0.6364,1.0000,0.7778,1.0000,1.0000,1.0000
claude-opus-4-6,doi_10_3390__coatings9010016,0.4514,0.3864,0.4037,43,19,4.00,3,2,2,3.5000,17944,2403,0.149795,,,,1.00,0,65,0.0000,0.2529,0.2178,0.2340,0.2105,0.0930,0.1290,0.5000,0.2500,0.3333,0.5000,0.7000,0.5833,1.0000,0.6667,0.8000
claude-opus-4-6,doi_10_3390__e16020870,0.9183,0.9298,0.9230,47,47,43.20,6,6,6,0.0000,18033,3361,0.174190,,,,1.00,0,138,0.0000,0.8828,0.8597,0.8711,0.9191,0.9191,0.9191,0.8462,1.0000,0.9167,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
claude-opus-4-6,doi_10_3390__e18050189,0.9339,0.8736,0.9015,10,9,6.90,1,1,1,0.0000,21390,1060,0.133450,,,,1.00,0,25,0.0000,0.8677,0.7472,0.8030,0.7667,0.6900,0.7263,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
claude-opus-4-6,doi_10_3390__e21010015,0.9827,0.8828,0.9290,68,63,60.50,6,5,5,0.0000,21943,4913,0.232540,,,,1.00,0,181,0.0000,0.9655,0.8702,0.9153,0.9603,0.8897,0.9237,1.0000,0.8182,0.9000,1.0000,1.0000,1.0000,1.0000,0.8333,0.9091
claude-opus-4-6,doi_10_3390__e21020114,0.7288,0.7070,0.7176,98,97,53.70,7,7,7,0.0000,49733,10136,0.502065,,,,2.00,0,196,0.0000,0.4807,0.4569,0.4685,0.5536,0.5480,0.5508,0.9231,0.8571,0.8889,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
claude-opus-4-6,doi_10_3390__e21020122,0.6236,0.5554,0.5755,31,15,12.00,8,5,5,1.0000,13658,1405,0.103415,,,,1.00,0,52,0.0000,0.6901,0.5632,0.6203,0.8000,0.3871,0.5217,0.0000,0.0000,0.0000,0.6429,0.9000,0.7500,1.0000,0.6250,0.7692
claude-opus-4-6,doi_10_3390__e21020169,0.7802,0.7933,0.7841,63,61,43.00,7,7,7,1.5714,19913,5926,0.247715,,,,1.00,0,222,0.0000,0.7323,0.7564,0.7441,0.7049,0.6825,0.6935,0.5000,0.6667,0.5714,0.9455,0.8254,0.8814,1.0000,1.0000,1.0000
claude-opus-4-6,doi_10_3390__e21030288,0.4800,0.5025,0.4903,43,52,10.40,5,5,5,0.0000,52639,9313,0.496020,,,,2.00,0,156,0.0000,0.2600,0.3049,0.2807,0.2000,0.2419,0.2189,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
claude-opus-4-6,doi_10_3390__e21050448,0.3481,0.6434,0.4484,20,47,9.50,5,10,5,1.8000,56934,12107,0.587345,,,,3.00,0,132,0.0000,0.2853,0.6118,0.3891,0.2021,0.4750,0.2836,0.0000,0.0000,0.0000,0.6522,0.9375,0.7692,0.5000,1.0000,0.6667
claude-opus-4-6,doi_10_3390__ma12071136,0.9444,0.7869,0.8475,53,50,46.00,5,5,5,3.0000,88261,12305,0.748930,,,,3.00,0,108,0.0000,0.8889,0.8054,0.8451,0.9200,0.8679,0.8932,1.0000,0.8947,0.9444,1.0000,0.5000,0.6667,1.0000,1.0000,1.0000
claude-opus-4-6,doi_10_3390__met10111466,0.5060,0.4528,0.4542,39,14,3.00,7,3,3,2.6667,17492,2594,0.152310,,,,1.00,0,49,0.0000,0.4719,0.4078,0.4375,0.2143,0.0769,0.1132,0.0000,0.0000,0.0000,0.6000,0.9231,0.7273,1.0000,0.4286,0.6000
claude-opus-4-6,doi_10_3390__met9030351,0.6981,0.6512,0.6491,14,14,8.30,4,3,3,2.0000,32630,3873,0.259975,,,,2.00,0,43,0.0000,0.6463,0.6873,0.6662,0.5929,0.5929,0.5929,0.1667,0.5000,0.2500,1.0000,0.6000,0.7500,1.0000,0.7500,0.8571
claude-opus-4-6,OVERALL,0.7222,0.7025,0.7113,674,649,405.25,101,98,91,1.0769,601269,95672,5.398145,0.0,0.0,0.0,1.53,0,1819,0.0000,0.6509,0.6518,0.6513,0.6244,0.6013,0.6126,0.5887,0.4663,0.5204,0.8459,0.8575,0.8517,0.9286,0.9010,0.9146
gpt-5-2-high,doi_10_1016__j_proeng_2012_03_043,0.8343,0.9970,0.8989,12,12,11.67,4,4,4,0.0000,9863,8587,0.098199,,,,1.00,0,35,0.0000,0.8186,0.9940,0.8978,0.9722,0.9722,0.9722,0.5000,1.0000,0.6667,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
gpt-5-2-high,doi_10_1038__ncomms10602,0.6964,0.8024,0.7423,19,26,16.33,1,1,1,0.0000,16657,13412,0.154941,,,,1.00,0,54,0.0000,0.6927,0.9048,0.7847,0.6282,0.8596,0.7259,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
gpt-5-2-high,doi_10_1038__s41467_019_08460_2,0.8486,0.7128,0.7551,18,19,9.73,5,6,5,0.0000,15837,15310,0.172896,,,,1.00,0,58,0.0000,0.8071,0.6457,0.7174,0.5123,0.5407,0.5261,0.8000,0.2667,0.4000,1.0000,1.0000,1.0000,0.8333,1.0000,0.9091
